File,WMC,DIT,NOC,CBO,RFC,LCOM,CA,CE,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CC,MaX_CC,SUM_LOC+,MAX_LOC+,SUM_LOC-,MAX_LOC-,MAX_SET,AVG_SET,NO_REV,SUM_CHRN,MAX_CHRN,Age,CountOfDeveloper,REF,BUG
ProxyServiceMessageReceiver.java,8,0,0,23,62,0,1,23,4,0.6,554,1,4,0,0.404761905,0,0,67.625,1.625,4,9,7,5,4,4,2.33,3,14,8,36.85,2,FALSE,TRUE
DBReportMediatorFactory.java,4,0,0,6,14,2,0,6,3,0.666666667,60,1,2,0,0.555555556,0,0,13.5,1.25,4,0,0,0,0,0,0,0,0,0,214.42,0,FALSE,FALSE
CustomURIBasedDispatcher.java,5,0,0,11,22,8,0,11,4,1,95,0.5,1,0,0.583333333,0,0,17.6,0.6,1,0,0,0,0,0,0,0,0,0,205.14,0,FALSE,FALSE
ThrottleMediatorFactory.java,4,0,0,7,25,4,0,7,3,0.666666667,169,1,1,0,0.555555556,0,0,41,3.25,12,0,0,0,0,0,0,0,0,0,193.14,0,FALSE,FALSE
SynapseXMLConfigurationSerializer.java,15,1,0,39,65,101,0,39,3,0.904761905,437,1,3,0,0.297619048,0,0,27.93333333,2.333333333,13,12,12,0,0,38,38,1,12,12,25,1,FALSE,FALSE
HttpCoreNIOListener.java,49,1,1,35,154,588,5,33,32,0.883928571,1165,1,8,0,0.107142857,0,0,22.48979592,1.510204082,4,26,19,53,34,65,35,3,79,40,9.14,1,TRUE,FALSE
SynapseCallbackReceiver.java,7,1,0,37,110,0,3,35,4,0.5,722,1,1,0,0.333333333,0,0,101.8571429,1.714285714,7,89,65,14,8,25,8.25,4,103,68,-58.71,1,FALSE,TRUE
SynapseXPathConstants.java,1,1,0,0,2,0,0,0,1,2,13,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,220.57,0,FALSE,FALSE
JMXSecretCallbackHandler.java,3,0,0,4,11,1,0,4,1,0.5,32,1,1,0,0.75,0,0,9.333333333,1,3,0,0,0,0,0,0,0,0,0,106.28,0,FALSE,FALSE
PerUserViewStrategy.java,5,1,2,10,29,0,2,8,2,0.916666667,271,1,1,0,0.485714286,0,0,52.6,5.2,12,0,0,0,0,0,0,0,0,0,168,0,FALSE,FALSE
