file_name,num_classes,num_methods,num_reflections,num_file_operations,num_network_operations
AbstractAutomationTestCase.java,1,7,0,0,0
AbstractBackEndServerController.java,1,1,0,0,0
AbstractConnectionDebug.java,1,3,0,0,0
AbstractDBMediator.java,1,22,0,0,0
AbstractDBMediatorFactory.java,1,8,0,0,0
AbstractDBMediatorSerializer.java,1,4,0,0,0
AbstractDispatcher.java,1,7,0,0,0
AbstractEipLibTestCase.java,1,1,0,0,0
AbstractEndpoint.java,1,48,0,0,0
AbstractEvaluatorSerializer.java,1,2,0,0,0
AbstractFileName.java,1,28,0,0,0
AbstractKeyStoreLoader.java,1,3,0,0,0
AbstractLibTestCase.java,1,1,0,0,0
AbstractListMediator.java,1,10,0,0,0
AbstractListMediatorFactory.java,1,1,0,0,0
AbstractListMediatorSerializer.java,1,1,0,0,0
AbstractMediator.java,1,22,0,0,0
AbstractMediatorFactory.java,1,7,0,0,0
AbstractMediatorSerializer.java,1,9,0,0,0
AbstractMediatorTestCase.java,1,1,0,0,0
AbstractMessageProcessor.java,1,12,0,0,0
AbstractMessageStore.java,1,16,0,0,0
AbstractRegistry.java,1,6,0,0,0
AbstractRESTProcessor.java,1,4,0,0,0
AbstractSecretCallbackHandler.java,1,3,0,0,0
AbstractSplitMediatorTestCase.java,1,2,0,0,0
AbstractStartup.java,1,6,0,0,0
AbstractSynapseArtifactDeployer.java,1,20,0,0,0
AbstractSynapseObserver.java,1,16,0,0,0
AbstractTestCase.java,1,6,0,0,0
AbstractVersionStrategy.java,1,3,0,0,0
AbstractXarMojo.java,1,11,0,0,0
Access.java,32,57,1,0,0
AccessConstants.java,1,0,0,0,0
AccessHandler.java,1,2,0,0,0
AccessLogger.java,1,5,0,0,0
AccessTimeUtil.java,2,8,0,0,0
ActiveMQController.java,1,2,0,0,0
AddressEndpoint.java,1,3,0,0,0
AddressEndpointFactory.java,1,3,0,0,0
AddressEndpointSerializationTest.java,1,5,0,0,0
AddressEndpointSerializer.java,1,2,0,0,0
Aggregate.java,2,20,0,0,0
AggregateMediator.java,1,22,0,0,0
AggregateMediatorFactory.java,1,2,0,0,0
AggregateMediatorSerializationTest.java,1,1,0,0,0
AggregateMediatorSerializer.java,1,2,0,0,0
